,date,prname,numconf,numdeaths,numtoday,numdeathstoday,numtested,numtestedtoday,numrecover,numrecoveredtoday,numactive,population,latitude,longitude
0,31-01-2020,Ontario,3,0.0,3,0.0,0.0,0.0,0.0,0.0,3.0,14446515.0,50.0,-85.0
1,08-02-2020,Ontario,3,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,14446515.0,50.0,-85.0
2,16-02-2020,Ontario,3,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,14446515.0,50.0,-85.0
3,21-02-2020,Ontario,3,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,14446515.0,50.0,-85.0
4,24-02-2020,Ontario,4,0.0,1,0.0,0.0,0.0,0.0,0.0,4.0,14446515.0,50.0,-85.0
5,25-02-2020,Ontario,4,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,14446515.0,50.0,-85.0
6,26-02-2020,Ontario,5,0.0,1,0.0,0.0,0.0,0.0,0.0,5.0,14446515.0,50.0,-85.0
7,27-02-2020,Ontario,6,0.0,1,0.0,0.0,0.0,0.0,0.0,6.0,14446515.0,50.0,-85.0
8,29-02-2020,Ontario,8,0.0,2,0.0,0.0,0.0,0.0,0.0,8.0,14446515.0,50.0,-85.0
9,01-03-2020,Ontario,15,0.0,7,0.0,0.0,0.0,0.0,0.0,15.0,14446515.0,50.0,-85.0
10,03-03-2020,Ontario,20,0.0,5,0.0,0.0,0.0,0.0,0.0,20.0,14446515.0,50.0,-85.0
11,05-03-2020,Ontario,22,0.0,2,0.0,0.0,0.0,0.0,0.0,22.0,14446515.0,50.0,-85.0
12,06-03-2020,Ontario,28,0.0,6,0.0,0.0,0.0,0.0,0.0,28.0,14446515.0,50.0,-85.0
13,07-03-2020,Ontario,28,0.0,0,0.0,0.0,0.0,0.0,0.0,28.0,14446515.0,50.0,-85.0
14,08-03-2020,Ontario,31,0.0,3,0.0,0.0,0.0,0.0,0.0,31.0,14446515.0,50.0,-85.0
15,09-03-2020,Ontario,34,0.0,3,0.0,0.0,0.0,0.0,0.0,34.0,14446515.0,50.0,-85.0
16,11-03-2020,Ontario,42,1.0,8,1.0,3394.0,3394.0,0.0,0.0,41.0,14446515.0,50.0,-85.0
17,12-03-2020,Ontario,59,1.0,17,0.0,4185.0,791.0,0.0,0.0,58.0,14446515.0,50.0,-85.0
18,13-03-2020,Ontario,79,1.0,20,0.0,4185.0,0.0,0.0,0.0,78.0,14446515.0,50.0,-85.0
19,14-03-2020,Ontario,79,1.0,0,0.0,6646.0,2461.0,0.0,0.0,78.0,14446515.0,50.0,-85.0
20,15-03-2020,Ontario,103,1.0,24,0.0,8461.0,1815.0,0.0,0.0,102.0,14446515.0,50.0,-85.0
21,16-03-2020,Ontario,145,1.0,42,0.0,10178.0,1717.0,0.0,0.0,144.0,14446515.0,50.0,-85.0
22,17-03-2020,Ontario,177,1.0,32,0.0,11167.0,989.0,0.0,0.0,176.0,14446515.0,50.0,-85.0
23,18-03-2020,Ontario,189,1.0,12,0.0,13869.0,2702.0,0.0,0.0,188.0,14446515.0,50.0,-85.0
24,19-03-2020,Ontario,258,2.0,69,1.0,18488.0,4619.0,0.0,0.0,256.0,14446515.0,50.0,-85.0
25,20-03-2020,Ontario,311,2.0,53,0.0,21499.0,3011.0,0.0,0.0,309.0,14446515.0,50.0,-85.0
26,21-03-2020,Ontario,377,3.0,66,1.0,25470.0,3971.0,0.0,0.0,374.0,14446515.0,50.0,-85.0
27,22-03-2020,Ontario,425,5.0,48,2.0,28570.0,3100.0,0.0,0.0,420.0,14446515.0,50.0,-85.0
28,23-03-2020,Ontario,503,6.0,78,1.0,30688.0,2118.0,0.0,0.0,497.0,14446515.0,50.0,-85.0
29,24-03-2020,Ontario,588,8.0,85,2.0,34727.0,4039.0,0.0,0.0,580.0,14446515.0,50.0,-85.0
30,25-03-2020,Ontario,688,13.0,100,5.0,38040.0,3313.0,0.0,0.0,675.0,14446515.0,50.0,-85.0
31,26-03-2020,Ontario,858,15.0,170,2.0,41217.0,3177.0,8.0,8.0,835.0,14446515.0,50.0,-85.0
32,27-03-2020,Ontario,993,18.0,135,3.0,43651.0,2434.0,8.0,0.0,967.0,14446515.0,50.0,-85.0
33,28-03-2020,Ontario,993,18.0,0,0.0,45836.0,2185.0,8.0,0.0,967.0,14446515.0,50.0,-85.0
