,date,numconf,numtestedtoday,numtoday,numdeathstoday,numactive,CERB,Mask,Bike,Zoom,Patio
0,31-01-2020,4,0.0,4,0.0,4.0,0.0,17.0,7.0,2.0,1.0
1,08-02-2020,7,0.0,3,0.0,7.0,0.0,10.0,7.0,3.0,1.0
2,16-02-2020,8,0.0,1,0.0,8.0,0.0,8.0,9.0,2.0,2.0
3,21-02-2020,9,0.0,1,0.0,9.0,0.0,6.0,6.0,2.0,1.0
4,24-02-2020,10,0.0,1,0.0,10.0,0.0,7.0,8.0,3.0,2.0
5,25-02-2020,11,0.0,1,0.0,11.0,0.0,10.0,7.0,3.0,1.0
6,26-02-2020,12,0.0,1,0.0,12.0,0.0,13.0,7.0,3.0,2.0
7,27-02-2020,13,0.0,1,0.0,13.0,0.0,14.0,8.0,3.0,1.0
8,29-02-2020,15,0.0,2,0.0,15.0,0.0,13.0,9.0,2.0,2.0
9,01-03-2020,24,0.0,9,0.0,24.0,0.0,14.0,9.0,2.0,2.0
10,03-03-2020,33,0.0,9,0.0,33.0,0.0,11.0,7.0,3.0,2.0
11,05-03-2020,45,0.0,12,0.0,45.0,0.0,11.0,8.0,3.0,2.0
12,06-03-2020,51,0.0,6,0.0,51.0,0.0,11.0,9.0,3.0,2.0
13,07-03-2020,57,0.0,6,0.0,57.0,0.0,9.0,10.0,2.0,2.0
14,08-03-2020,62,0.0,5,1.0,61.0,0.0,10.0,11.0,2.0,3.0
15,09-03-2020,77,0.0,15,0.0,76.0,0.0,10.0,9.0,3.0,2.0
16,11-03-2020,103,11023.0,26,0.0,101.0,0.0,12.0,7.0,3.0,2.0
17,12-03-2020,138,4162.0,38,0.0,139.0,0.0,16.0,6.0,5.0,1.0
18,13-03-2020,176,0.0,38,0.0,177.0,0.0,19.0,7.0,7.0,1.0
19,14-03-2020,193,7224.0,20,0.0,197.0,0.0,16.0,8.0,6.0,2.0
20,15-03-2020,249,2568.0,54,0.0,251.0,0.0,17.0,9.0,6.0,3.0
21,16-03-2020,324,12753.0,88,3.0,336.0,0.0,15.0,7.0,15.0,2.0
22,17-03-2020,424,6446.0,99,3.0,432.0,0.0,17.0,8.0,19.0,1.0
23,18-03-2020,569,9370.0,157,1.0,588.0,0.0,16.0,8.0,20.0,1.0
24,19-03-2020,846,12305.0,276,3.0,861.0,0.0,19.0,8.0,23.0,1.0
25,20-03-2020,971,10963.0,131,1.0,991.0,0.0,19.0,8.0,24.0,2.0
